,day,coustomer,wine,region,price,Popularity
30,day5,a1,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
31,day5,a1,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
32,day5,a1,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
33,day5,a1,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
34,day5,a1,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
35,day5,a1,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
36,day5,a1,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
37,day5,a1,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
38,day5,a1,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
39,day5,a1,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
40,day5,a2,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
41,day5,a2,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
42,day5,a2,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
43,day5,a2,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
44,day5,a2,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
45,day5,a2,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
46,day5,a2,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
47,day5,a2,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
48,day5,a2,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
49,day5,a2,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
50,day5,a2,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
51,day5,a2,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
52,day5,a2,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
53,day5,a2,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
54,day5,a2,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
55,day5,a2,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
56,day5,a2,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
57,day5,a2,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
58,day5,a2,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
59,day5,a2,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
60,day5,a3,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
61,day5,a3,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
62,day5,a3,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
63,day5,a3,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
64,day5,a3,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
65,day5,a3,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
66,day5,a3,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
67,day5,a3,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
68,day5,a3,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
69,day5,a3,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
70,day5,a3,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
71,day5,a3,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
72,day5,a3,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
73,day5,a3,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
74,day5,a3,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
75,day5,a3,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
76,day5,a3,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
77,day5,a3,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
78,day5,a3,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
79,day5,a3,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
80,day5,a4,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
81,day5,a4,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
82,day5,a4,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
83,day5,a4,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
84,day5,a4,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
85,day5,a4,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
86,day5,a4,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
87,day5,a4,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
88,day5,a4,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
89,day5,a4,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
90,day5,a4,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
91,day5,a4,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
92,day5,a4,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
93,day5,a4,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
94,day5,a4,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
95,day5,a4,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
96,day5,a4,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
97,day5,a4,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
98,day5,a4,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
99,day5,a4,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
100,day5,a5,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
101,day5,a5,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
102,day5,a5,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
103,day5,a5,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
104,day5,a5,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
105,day5,a5,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
106,day5,a5,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
107,day5,a5,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
108,day5,a5,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
109,day5,a5,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
110,day5,a5,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
111,day5,a5,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
112,day5,a5,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
113,day5,a5,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
114,day5,a5,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
115,day5,a5,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
116,day5,a5,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
117,day5,a5,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
118,day5,a5,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
119,day5,a5,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
120,day5,a6,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
121,day5,a6,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
122,day5,a6,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
123,day5,a6,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
124,day5,a6,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
125,day5,a7,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
126,day5,a7,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
127,day5,a7,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
128,day5,a7,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
129,day5,a7,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
130,day5,a8,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
131,day5,a8,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
132,day5,a8,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
133,day5,a8,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
134,day5,a8,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
135,day5,a9,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
136,day5,a9,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
137,day5,a9,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
138,day5,a9,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
139,day5,a9,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
140,day5,a10,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
141,day5,a10,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
142,day5,a10,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
143,day5,a10,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
144,day5,a10,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
145,day5,a11,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
146,day5,a11,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
147,day5,a11,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
148,day5,a11,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
149,day5,a11,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
150,day5,a12,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
151,day5,a12,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
152,day5,a12,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
153,day5,a12,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
154,day5,a12,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
155,day5,a12,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
156,day5,a12,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
157,day5,a12,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
158,day5,a12,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
159,day5,a12,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
160,day5,a12,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
161,day5,a13,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
162,day5,a13,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
163,day5,a13,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
164,day5,a13,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
165,day5,a13,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
166,day5,a13,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
167,day5,a13,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
168,day5,a13,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
169,day5,a13,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
170,day5,a13,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
171,day5,a13,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
172,day5,a14,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
173,day5,a14,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
174,day5,a14,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
175,day5,a14,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
176,day5,a14,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
177,day5,a14,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
178,day5,a14,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
179,day5,a14,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
180,day5,a14,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
181,day5,a14,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
182,day5,a14,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
183,day5,a15,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
184,day5,a15,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
185,day5,a15,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
186,day5,a15,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
187,day5,a15,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
188,day5,a15,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
189,day5,a15,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
190,day5,a15,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
191,day5,a15,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
192,day5,a15,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
193,day5,a15,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
194,day5,a16,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
195,day5,a16,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
196,day5,a16,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
197,day5,a16,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
198,day5,a16,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
199,day5,a16,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
200,day5,a16,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
201,day5,a16,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
202,day5,a16,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
203,day5,a16,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
204,day5,a16,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
205,day5,a17,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
206,day5,a17,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
207,day5,a17,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,190,1051
208,day5,a17,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
209,day5,a17,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
210,day5,a17,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
211,day5,a17,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
212,day5,a17,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
213,day5,a17,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
214,day5,a17,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
215,day5,a17,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
216,day4,a0,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
217,day4,a0,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
218,day4,a0,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
219,day4,a0,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
220,day4,a0,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
221,day4,a0,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,109,1092
222,day4,a0,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,80,1114
223,day4,a0,"Beaulieu Vineyard BV Napa Valley Cabernet Sauvignon, USA",Napa Valley,27,1130
224,day4,a0,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,153,1142
225,day4,a0,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
226,day4,a0,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
227,day4,a0,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
228,day4,a0,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
229,day4,a0,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
230,day4,a0,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
231,day4,a0,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
232,day4,a0,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
233,day4,a0,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
234,day4,a0,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
235,day4,a0,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
236,day4,a1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,53,949
237,day4,a1,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,417,960
238,day4,a1,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,156,982
239,day4,a1,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,173,993
240,day4,a1,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1033
241,day4,a1,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,94,1041
242,day4,a1,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,22,1100
243,day4,a1,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,45,1101
244,day4,a1,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,244,1124
245,day4,a1,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,28,1148
246,day4,a1,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,120,1167
247,day4,a1,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,82,1186
248,day4,a1,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,75,1205
249,day4,a1,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,146,1217
250,day4,a1,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,126,1266
251,day4,a1,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,246,1291
252,day4,a1,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,251,1297
253,day4,a1,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,70,1297
254,day4,a1,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,86,1302
255,day4,a1,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,402,1318
